Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version,uuid
"Lampert, Mara",,https://focalplane.biologists.com/2023/04/13/quality-assurance-of-segmentation-results/,Quality assurance of segmentation results,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,02965bee-7ce6-4969-ad6d-f85f76b61f05
"Lampert, Mara",,https://focalplane.biologists.com/2023/03/02/rescaling-images-and-pixel-anisotropy/,Rescaling images and pixel (an)isotropy,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,2437b060-c216-4990-ae05-38a91b4730ff
"Wendt, Jens",,https://forum.image.sc/t/user-friendly-image-metadata-annotation-tool-workflow-for-omero/87925/1,User friendly Image metadata annotation tool/workflow for OMERO,,,Unknown,Unknown,Metadata * Workflow * OMERO * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown,fa95f541-7c96-4e49-8e82-e496e5e9bc54
"Lampert, Mara",,https://focalplane.biologists.com/2024/04/03/how-to-write-a-bug-report/,How to write a bug report,,,Unknown,Unknown,Github * Python * Science Communication * include in DALIA,,Text,text,novice,,Unknown,Unknown,Unknown,Unknown,3fd00ec8-90f0-40f9-8270-edbce0df0da7
"Lampert, Mara",,https://focalplane.biologists.com/2024/07/18/prompt-engineering-in-bio-image-analysis/,Prompt Engineering in Bio-image Analysis,,,Unknown,Unknown,Python * Jupyter * Bioimage Analysis * Prompt Engineering * Biabob * include in DALIA,,Text,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,07956f26-ffe7-4fda-96b0-e78079a1c7e9
Robert Haase et al.,CC-BY-4.0 * BSD-3-Clause,https://haesleinhuepf.github.io/BioImageAnalysisNotebooks/intro.html,BioImage Analysis Notebooks,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,c44c9890-0804-4430-90f4-2dca4317262b
"Bankhead, Pete",CC-BY-4.0,https://bioimagebook.github.io/index.html,Introduction to Bioimage Analysis,,,Unknown,Unknown,Python * Imagej * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,novice,,Unknown,Unknown,Unknown,Unknown,77964697-4063-4d5c-a39c-27fd3e207017
"Haase, Robert",CC-BY-4.0,https://f1000research.com/slides/12-971,Generative artificial intelligence for bio-image analysis,,,Unknown,Unknown,Python * Bioimage Analysis * Artificial Intelligence * include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown,2dc12287-0ad3-482e-b71f-a29c0557bb9a
Katarzyna Biernacka * Maik Bierwirth * Petra Buchholz * Dominika Dolzycka * Kerstin Helbig * Janna Neumann * Carolin Odebrecht * Cord Wiljes * Ulrike Wuttke,CC-BY-4.0,https://doi.org/10.5281/zenodo.4071471,Train-the-Trainer Concept on Research Data Management,,"Within the project FDMentor, a German Train-the-Trainer Programme on Research Data Management (RDM) was developed and piloted in a series of workshops. The topics cover many aspects of research data management, such as data management plans and the publication of research data, as well as didactic units on learning concepts, workshop design and a range of didactic methods.

After the end of the project, the concept was supplemented and updated by members of the Sub-Working Group Training/Further Education (UAG Schulungen/Fortbildungen) of the DINI/nestor Working Group Research Data (DINI/nestor-AG Forschungsdaten). The newly published English version of the Train-the-Trainer Concept contains the translated concept, the materials and all methods of the Train-the-Trainer Programme. Furthermore, additional English references and materials complement this version.",Unknown,.pdf * .zip,Research Data Management * include in DALIA,en,Book,text,competent,2020-11-04,Unknown,Unknown,Unknown,Unknown,7c95a128-92f8-47b0-86e7-725f0301c44d
Katarzyna Biernacka * Katrin Cortez * Kerstin Helbig,CC-BY-4.0,https://doi.org/10.5281/zenodo.3490058,Efficiently starting institutional research data management,,"Researchers are increasingly often confronted with research data management (RDM) topics during their work. Higher education institutions therefore begin to offer services for RDM at some point to give support and advice. However, many groundbreaking decisions have to be made at the very beginning of RDM services. Priorities must be set and policies formulated. Likewise, the staff must first be qualified in order to provide advice and adequately deal with the manifold problems awaiting.
The FDMentor project has therefore bundled the expertise of five German universities with different experiences and levels of RDM knowledge to jointly develop strategies, roadmaps, guidelines, and open access training material. Humboldt-Universit&auml;t zu Berlin, Freie Universit&auml;t Berlin, Technische Universit&auml;t Berlin, University of Potsdam, and European University Viadrina Frankfurt (Oder) have worked together on common solutions that are easy to adapt. With funding of the German Federal Ministry of Education and Research, the collaborative project addressed four problem areas: strategy development, legal issues, policy development, and competence enhancement. The aim of the project outcomes is to provide other higher education institutions with the best possible support for the efficient introduction of research data management. Therefore, all project results are freely accessible under the CC-BY 4.0 international license. The early involvement of the community in the form of workshops and the collection of feedback has proven its worth: the FDMentor strategies, roadmaps, guidelines, and training materials are applied and adapted beyond the partner universities.",Unknown,.pdf,Research Data Management * include in DALIA,en,Text,text,proficient,2019-10-15,Unknown,Unknown,Unknown,Unknown,ca9f9ec2-2ec6-421e-86b1-2b165a875d37
Mark Jenkinson * Jens Rittscher * Dominic Waithe,GPL-2.0,https://github.com/dwaithe/ONBI_image_analysis,ONBI Image Analysis Course,,This repository contains the materials for the University of Oxford DTC ONBI Image Analysis course.,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,b2dafe83-bb42-4476-9aa3-e30ff6ae5307
"Cardona, Albert",CC0-1.0,https://syn.mrc-lmb.cam.ac.uk/acardona/fiji-tutorial/,A Fiji Scripting Tutorial,,,Unknown,Unknown,Imagej * Bioimage Analysis * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown,5ea2eb5d-55bc-4e16-a94d-6f89875d5bc1
"Haase, Robert",,https://git.mpi-cbg.de/rhaase/lecture_applied_bioimage_analysis,Lecture Applied Bioimage Analysis 2020,,"Slides, scripts, data and other exercise materials of the BioImage Analysis lecture at CMCB TU Dresden 2020",Unknown,Unknown,Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown,880bb639-4f2b-42a8-bc37-eaff433d4128
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_imagej2_dev,ImageJ2 API-beating,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown,02e325a3-a6e6-40c6-9f89-1a7aece80657
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_multiview_registration,Multi-view fusion,,Lecture slides of a session on Multiview Fusion in Fiji,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown,ad8e4b08-6d80-48b3-a0a3-0536b2ea9023
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_tracking_trackmate,"Tracking Theory, TrackMate, and Mastodon",,Lecture slides of a session on Cell Tracking in Fiji,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown,692a2590-5441-4f96-b1fc-313cfcdc1497
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_working_with_pixels,Working with pixels,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,novice,,Unknown,Unknown,Unknown,Unknown,e65a750c-e625-4ccf-9caf-7eed1daffbb5
"Haase, Robert",BSD-3-Clause,https://git.mpi-cbg.de/rhaase/lecture_working_with_objects_in_2d_and_3d,Working with objects in 2D and 3D,,,Unknown,Unknown,Neubias * Imagej * Bioimage Analysis * include in DALIA,,Presentation,presentation,novice,,Unknown,Unknown,Unknown,Unknown,2e0663e0-8ccf-4245-9f41-1cf287a37432
"Witz, Guillaume",MIT,https://github.com/guiwitz/Python_image_processing,Image processing with Python,,"Series of Notebooks exposing how to do mostly basic and some advanced image processing using Python. It uses standard packages (Numpy, Maplotlib) and for the image processing parts is heavily based on the scikit-image package.",Unknown,Unknown,Python * include in DALIA,en,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,eacf6731-f6d2-41cb-961d-d0b0d75e1b52
"Musacchio, Fabrizio",CC-BY-ND-SA-4.0,https://www.fabriziomusacchio.com/teaching/teaching_bioimage_analysis/,Bioimage analysis with Napari,,,Unknown,Unknown,Python * Napari * Bioimage Analysis * include in DALIA,,Other,,advanced beginner,,Unknown,Unknown,Unknown,Unknown,cb043ec9-b800-4c35-b721-940a911edabb
"Chiesa, Stefano Della",CC-BY-4.0,https://doi.org/10.5281/zenodo.6602101,Research Data Management Seminar - Slides,,"This Research Data Management (RDM) Slides introduce to the multidisciplinary knowledge and competencies required to address policy compliance and research data management best practices throughout a project lifecycle, and beyond it.


	Module 1 - Introduces the RDM giving its context in the Research Data Governance
	Module 2 - Illustrates the most important RDM policies and principles
	Module 3 - Provides the most relevant RDM knowledge bricks
	Module 4 - Discuss the Data Management Plans (DMPs), examples, templates and guidance


&nbsp;",Unknown,.pdf,Research Data Management * include in DALIA,en,Presentation,presentation,advanced beginner,2022-05-18,Unknown,Unknown,Unknown,Unknown,514b16b2-10bc-435d-9343-a372137934dc
Rebecca A. Senft * Barbara Diaz-Rohrer * Pina Colarusso * Lucy Swift * Nasim Jamali * Helena Jambor * Thomas Pengo * Craig Brideau * Paula Montero Llopis * Virginie Uhlmann * Jason Kirk * Kevin Andrew Gonzales * Peter Bankhead * Edward L. Evans III * Kevin W. Eliceiri * Beth A. Cimini,BSD-3-Clause,https://doi.org/10.1371/journal.pbio.3002167,A biologist’s guide to planning and performing quantitative bioimaging experiments,,,Unknown,Unknown,include in DALIA,,Other * Article,text,novice,,Unknown,Unknown,Unknown,Unknown,58d5dfa5-45a7-40e8-ae79-d791dee8af98
"Miura, Kota",ALL RIGHTS RESERVED,https://github.com/miura/ij_textbook1/raw/76b51338e1f006c580b6f0f5cfc48fe02fba38d7/CMCIBasicCourse201102Bib.pdf,Basics of Image Processing and Analysis,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,novice,,Unknown,Unknown,Unknown,Unknown,492433ba-7ea5-454c-913a-15c98539a7aa
Robert Haase * Benoit Lombardot,CC-BY-NC-4.0,https://github.com/mpicbg-scicomp/CourseIntroToIA,Introduction to Image Analysis with Fiji,,,Unknown,Unknown,Imagej * Fiji * Bioimage Analysis * include in DALIA,,,,novice,,Unknown,Unknown,Unknown,Unknown,36fac73a-7148-4523-8163-490fecd9f9b8
"Yamauchi, Kevin",CC-BY-4.0,https://kevinyamauchi.github.io/open-image-data/how_tos/conda_forge_packaging.html,Making your package available on conda-forge,,,Unknown,Unknown,Deployment * Python * include in DALIA,,Text,text,competent,,Unknown,Unknown,Unknown,Unknown,03d8e770-6671-4408-8b7a-7eae1cc937b8
Christian Schmidt * Michele Bortolomeazzi * Tom Boissonnet * Carsten Fortmann-Grote * Julia Dohle * Peter Zentis * Niraj Kandpal * Susanne Kunis * Thomas Zobel * Stefanie Weidtkamp-Peters * Elisa Ferrando-May,CC-BY-4.0,https://doi.org/10.5281/zenodo.8323588,"I3D:bio's OMERO training material: Re-usable, adjustable, multi-purpose slides for local user training",,"The open-source software OME Remote Objects (OMERO) is a data management software that allows storing, organizing, and annotating bioimaging/microscopy data. OMERO has become one of the best-known systems for bioimage data management in the bioimaging community. The Information Infrastructure for BioImage Data (I3D:bio) project facilitates the uptake of OMERO into research data management (RDM) practices at universities and research institutions in Germany. Since the adoption of OMERO into researchers' daily routines requires intensive training, a broad portfolio of training resources for OMERO is an asset. On top of using the OMERO guides curated by the Open Microscopy Environment Consortium (OME) team, imaging core facility staff at institutions where OMERO is used often prepare additional material tailored to be applicable for their own OMERO instances. Based on experience gathered in the Research Data Management for Microscopy group (RDM4mic) in Germany, and in the use cases in the I3D:bio project, we created a set of reusable, adjustable, openly available slide decks to serve as the basis for tailored training lectures, video tutorials, and self-guided instruction manuals directed at beginners in using OMERO. The material is published as an open educational resource complementing the existing resources for OMERO contributed by the community.",Unknown,.odp * .pdf * .pptx,OMERO * Research Data Management * Nfdi4Bioimage * I3Dbio * include in DALIA,en,Presentation,video * presentation,advanced beginner,2023-11-13,Unknown,Unknown,Unknown,Unknown,b484d14c-2b7a-4bf8-a229-4a4a69973e14
Aurelien Barbotin * Chas Nelson * Dominic Waithe * Ola (Alexandra) Tarkowska * Mikolaj Kundegorski * Stephen Cross * Todd Fallesen,GPL-3.0,https://github.com/RMS-DAIM/Python-for-Bioimage-Analysis,IAFIG-RMS Python for Bioimage Analysis Course,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,31f8874f-6c53-4868-aef4-f9f07a041bf2
"Witz, Guillaume",BSD-3-Clause,https://github.com/guiwitz/NumpyPandas_course,numpy pandas course,,,Unknown,Unknown,Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,0bb87e8f-6990-4bb2-8aeb-cb2f0ced37e0
"Bhattiprolu, Sreenivas",MIT,https://github.com/bnsreenu/python_for_microscopists,Python for Microscopists,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Other * Code Notebook,code,novice,,Unknown,Unknown,Unknown,Unknown,5209a5d3-7c91-4919-b687-f96f7603ee87
"Rougier, Nicolas P.",CC-BY-ND-SA-4.0,https://github.com/rougier/scientific-visualization-book,Scientific Visualization: Python + Matplotlib,,,Unknown,Unknown,Python * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,dd2fd9c2-1af9-46e3-82b3-04e73c2d1fac
"Camacho, Rafael",MIT,https://github.com/CamachoDejay/teaching-bioimage-analysis-python,Teaching Bioimage Analysis with Python,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Tutorial,,advanced beginner,,Unknown,Unknown,Unknown,Unknown,3e106024-1024-4bd2-9f7b-b22f2801124f
"Camacho, Rafael",MIT,https://github.com/CamachoDejay/Teaching-ImageJ-FIJI,Teaching ImageJ FIJI,,,Unknown,Unknown,Fiji * Bioimage Analysis * include in DALIA,,Tutorial,,advanced beginner,,Unknown,Unknown,Unknown,Unknown,5277ef00-aa5d-4a91-9b8a-c7a1ff93df4c
"Nunez-Iglesias, Juan",BSD-3-Clause,https://github.com/jni/halfway-to-i2k-skimage-napari,"Fundamentals of image analysis in Python with scikit-image, napari, and friends",,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,36b37b3c-9e09-455a-9233-ea79d1b7aeee
"Nunez-Iglesias, Juan",BSD-3-Clause,https://github.com/scipy-2023-image-analysis/tutorial,"Image analysis and visualization in Python with scikit-image, napari, and friends",,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,a9f682e1-2300-4c67-b1ec-453b2cf55e4b
"Royle, Stephen",,https://cshlpress.com/default.tpl?cart=1700309488232283050&fromlink=T&linkaction=full&linksortby=oop_title&--eqSKUdatarq=1282,The Digital Cell: Cell Biology as a Data Science,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,c230f98b-8e62-4785-902f-2eafbe149483
"Hartmann, Jonas",MIT,https://github.com/WhoIsJack/python-bioimage-analysis-tutorial,Python BioImage Analysis Tutorial,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,,,advanced beginner,,Unknown,Unknown,Unknown,Unknown,c5f91915-684c-4017-8717-a551a386a163
Jacob Deppen * Kimberly Meechan * David Palmquist * Ulf Schiller * Robert Turner * Marianne Corvellec * Toby Hodges * et al.,CC-BY-4.0,https://datacarpentry.org/image-processing/,Image Processing with Python,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Other,,advanced beginner,,Unknown,Unknown,Unknown,Unknown,13a24272-de3a-4a61-89af-0263b806ca45
Victor Yurchenko * Fedor Ratnikov * Viktoriia Checkalina,MIT,https://github.com/yandexdataschool/deep_vision_and_graphics,Deep Vision and Graphics,,,Unknown,Unknown,Python * Artificial Intelligence * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown,f533cf40-e2e0-4733-b287-053f2d459fa9
"Pape, Constantin",MIT,https://github.com/constantinpape/dl-teaching-resources,Collection of teaching material for deep learning for (biomedical) image analysis,,,Unknown,Unknown,Artificial Intelligence * Bioimage Analysis * include in DALIA,,,,competent,,Unknown,Unknown,Unknown,Unknown,054a206c-4d5a-4880-88f4-8f9a04c3b6a3
"Tischer, Christian",MIT,https://github.com/tischi/image-analysis-course-material,Image analysis course material,,"Training materials about image registration, big warp and elastix",Unknown,Unknown,include in DALIA,,,,,,Unknown,Unknown,Unknown,Unknown,7edb6581-954d-4c70-80c9-fe027b4975ae
"Witz, Guillaume",BSD-3-Clause,https://github.com/guiwitz/PyImageCourse_beginner,Image processing for beginners,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,7b1cf15d-8440-4b0e-aafd-d0ea2c0ca63c
Beth Cimini * Tim Becker * Shantanu Singh * Gregory Way * Hamdah Abbasi * Callum Tromans-Coia,CC0-1.0,https://github.com/cytomining/profiling-handbook,Image-based Profiling Handbook,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,a2ae9f82-f4b6-44e7-835b-49d666d5f182
"Tischer, Christian",CC-BY-4.0,https://doi.org/10.6019/TOL.BioImageAnalysis22-w.2022.00001.1,Methods in bioimage analysis,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Tutorial * Presentation,video * presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown,833fc420-c36d-40d5-ae54-109baf296816
"Bankhead, Peter",CC-BY-4.0,https://doi.org/10.5281/zenodo.4328911,QuPath: Open source software for analysing (awkward) images,,Slides from the CZI/EOSS online meeting in December 2020.,Unknown,.pdf,Bioimage Analysis * include in DALIA,,Presentation,presentation,,2020-12-16,Unknown,Unknown,Unknown,Unknown,7bcacaba-18d1-4f67-a907-29d74f5205ce
Kari Jordan * Zhian Kamvar * Toby Hodges,CC-BY-4.0,https://doi.org/10.5281/zenodo.4317149,Creating open computational curricula,,"In this interactive session, Carpentries team members will guide attendees through three stages of the backward design process to create a lesson development plan for the open source tool of their choosing. Attendees will leave having identified what practical skills they aim to teach (learning objectives), an approach for designing challenge questions (formative assessment), and mechanisms to give and receive feedback.",Unknown,.pdf,include in DALIA,en,Presentation,presentation,competent,2020-12-11,Unknown,Unknown,Unknown,Unknown,e91bb0ba-5bcd-48c1-8f20-5537065a735e
"Haase, Robert",CC-BY-4.0,https://doi.org/10.7490/f1000research.1119154.1,Parallelization and heterogeneous computing: from pure CPU to GPU-accelerated image processing,,,Unknown,Unknown,include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown,aa32c73b-4e59-4a86-96e4-668011813392
"Miura, Kota",ALL RIGHTS RESERVED,https://analyticalscience.wiley.com/do/10.1002/was.00050003/full/bioimagedataanalysis.pdf,BioImage Data Analysis,,,Unknown,Unknown,Neubias * Bioimage Analysis * include in DALIA,,Book,text,competent,,Unknown,Unknown,Unknown,Unknown,48311b90-2c15-4295-9448-a2503bb2a47f
"Yamauchi, Kevin",CC-BY-4.0,https://kevinyamauchi.github.io/open-image-data/intro.html,Open Image Data Handbook,,,Unknown,Unknown,Neubias * Research Data Management * Napari * Python * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,advanced beginner,,Unknown,Unknown,Unknown,Unknown,f29a9557-d93f-465a-bc4e-6593a21e7b7b
Anna Poetsch * Biotec Dresden * Marcelo Leomil Zoccoler * Johannes Richard Müller * Robert Haase,CC-BY-4.0,https://github.com/BiAPoL/Bio-image_Analysis_with_Python,"Bio-image analysis, biostatistics, programming and machine learning for computational biology",,,Unknown,Unknown,Python * Bioimage Analysis * Napari * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,b8b8d4b8-0985-4c11-87f1-758d4546095f
"Wetzker, Cornelia",CC-BY-4.0,https://doi.org/10.5281/zenodo.10083555,Bio-Image Data Strudel for Workshop on Research Data Management in TU Dresden Core Facilities,,This presentation gives a short outline of the complexity of data and metadata in the bioimaging universe. It introduces NFDI4BIOIMAGE as a newly formed consortium as part of the German 'Nationale Forschungsdateninfrastruktur' (NFDI) and its goals and tools for data management including its current members on TU Dresden campus. &nbsp;,Unknown,.pdf * .pptx,Research Data Management * Nfdi4Bioimage * include in DALIA,en,Presentation,presentation,advanced beginner,2023-11-08,Unknown,Unknown,Unknown,Unknown,aaedb56f-af30-4212-8e3e-256c4d39efbb
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.10815329,Bio-image Analysis with the Help of Large Language Models,,"Large Language Models (LLMs) change the way how we use computers. This also has impact on the bio-image analysis community. We can generate code that analyzes biomedical image data if we ask the right prompts. This talk outlines introduces basic principles, explains prompt engineering and how to apply it to bio-image analysis. We also compare how different LLM vendors perform on code generation tasks and which challenges are ahead for the bio-image analysis community.",Unknown,.odp * .pdf * .pptx,artificial intelligence * Python * include in DALIA,en,Presentation,presentation,advanced beginner,2024-03-13,Unknown,Unknown,Unknown,Unknown,884b9483-6292-4118-94b5-859319e4403f
Stephane Rigaud * Brian Northan * Till Korten * Neringa Jurenaite * Apurv Deepak Kulkarni * Peter Steinbach * Sebastian Starke * Johannes Soltwedel * Marvin Albert * Robert Haase,CC-BY-4.0,https://github.com/BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis/,PoL Bio-Image Analysis Training School on GPU-Accelerated Image Analysis,,"This repository hosts notebooks, information and data for the GPU-Accelerated Image Analysis Track of the PoL Bio-Image Analysis Symposium.",Unknown,Unknown,Gpu * Clesperanto * Dask * Python * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown,8bce7f29-ee9f-4f5c-a631-cc55c67c92b2
"Haase, Robert",CC-BY-4.0,https://github.com/ScaDS/BIDS-lecture-2024,Bio-image Data Science,,This repository contains training resources for Students at Uni Leipzig who want to dive into bio-image data science with Python.,Unknown,Unknown,Research Data Management * artificial intelligence * Bio-Image Analysis * Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,49ce8445-c356-4810-855f-cf53f5db59e3
"Pape, Costantin",MIT,https://github.com/computational-cell-analytics/dl-for-micro,Introduction to Deep Learning for Microscopy,,This course consists of lectures and exercises that teach the background of deep learning for image analysis and show applications to classification and segmentation analysis problems.,Unknown,Unknown,artificial intelligence * Python * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown,89ef565d-f686-46cb-bed1-9f31bb04c351
"Zoccoler, Marcelo Leomil",CC-BY-4.0,https://zoccoler.github.io/QM_Course_Bio_Image_Analysis_with_napari_2024,QM Course Lectures on Bio-Image Analysis with napari 2024,,"In these lectures, we will explore ways to analyze microscopy images with Python and visualize them with napari, an nD viewer open-source software. The analysis will be done in Python mostly using the scikit-image, pyclesperanto and apoc libraries, via Jupyter notebooks. We will also explore some napari plugins as an interactive and convenient alternative way of performing these analysis, especially the napari-assistant, napari-apoc and napari-flim-phasor-plotter plugins.",Unknown,Unknown,Napari * Python * include in DALIA,en,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,4dcff839-92fb-4670-a70a-0a1e428d3411
Beth Cimini * Florian Jug * QI 2024,CC-BY-4.0,https://bethac07.github.io/qi_2024_analysis_lab_manual/intro.html,QI 2024 Analysis Lab Manual,,"This book contains the quantitative analysis labs for the QI CSHL course, 2024",Unknown,Unknown,Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown,46116bbe-482d-4703-a6c5-943463dbc95b
