repo_name,stars,forks
yandexdataschool/deep_vision_and_graphics,354,104
kreshuklab/predoc-course,2,2
imjoy-team/bioimage-io-resources,2,3
constantinpape/training-deep-learning-models-for-vison,8,3
constantinpape/dl-teaching-resources,4,1
JaneliaSciComp/nf-demos,2,2
JaneliaSciComp/2020AprilGitCourse,2,10
HenriquesLab/ZeroCostDL4Mic,608,139
HenriquesLab/DL4MicEverywhere,80,12
guijacquemet/CellTracksColab,46,4
tischi/image-analysis-course-material,0,0
guiwitz/PyImageCourse_beginner,34,10
ahklemm/ImageJMacro_Introduction,26,11
ahklemm/CellProfiler_Introduction,8,3
maweigert/embo_2022,0,0
maweigert/neubias_academy_stardist,31,14
maweigert/stardist-i2k,4,1
maweigert/zidas_2020_DL_intro_Part_2,0,1
holgerhennig/machine-learning-IFC,11,4
cytomining/profiling-handbook,12,7
cytomining/DeepProfiler-handbook,8,3
esgomezm/NEUBIAS_chapter_DL_2020,0,0
esgomezm/zidas2020_intro_DL,3,1
JLrumberger/DL-MBL-2021,0,3
galaxyproject/training-material,338,989
RoccoDAnt/Defragmentation_TrainingSchool_EOSC-Life_2022,7,3
hereariim/DEEP-NAPARI,0,0
BiAPoL/Bio-image_Analysis_with_Python,219,49
BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis,28,9
ScaDS/BIDS-lecture-2024,38,19
computational-cell-analytics/dl-for-micro,19,0
gletort/NeubiasPasteur2023_AdvancedCellPose,7,1
rmassei/2024-jn-omero-pipeline,3,0
ScaDS/BIDS-lecture-2024,38,19
NFDI4BIOIMAGE/Cologne-Hackathon-2023,1,0
ciminilab/2021_Jamali_BiologicalImaging,1,1
COBA-NIH/2023_ImageAnalysisSurvey,3,0
juglab/EmbedSeg,116,23
scipy/scipy-cookbook,473,179
InsightSoftwareConsortium/SimpleITK-Notebooks,865,354
scikit-image/skimage-tutorials,497,374
INRIA/scikit-learn-mooc,1246,562
yandexdataschool/nlp_course,10183,2656
glencoesoftware/bioformats2raw,94,36
glencoesoftware/raw2ometiff,55,23
GReD-Clermont/simple-omero-client,9,7
GReD-Clermont/omero_batch-plugin,4,1
NL-BioImaging/biomero,17,4
ome/omero-cli-transfer,17,16
ome/ome-ngff-validator,9,5
qupath/i2k-qupath-for-python-programmers,7,1
saalfeldlab/i2k2024-lazy-workshop,3,0
royerlab/ultrack-i2k2024,4,1
BIIFSweden/I2K2024-MTIWorkshop,5,0
haesleinhuepf/i2k2024-ai-code-generation,0,0
CellMigrationLab/I2K_2024,3,0
StRigaud/clesperanto_workshop_I2K24?tab=readme-ov-file,8,0
timmonko/napari-ndev,9,1
m-albert/Virtual-I2K-2024-multiview-stitcher,5,0
HelmholtzAI-Consultants-Munich/Prompt-Engineering-LLMs-Course,6,0
vibbits/introduction-to-generative-ai,4,1
vibbits/nextflow-workshop,14,13
rmassei/ymia_python_event_series_material,5,3
SaibotMagd/RDM_system_connector,0,0
deeplife4eu/Lecture-materials,15,12
NEUBIAS/training-resources,58,25
cxli233/Online_R_learning,549,113
cxli233/FriendsDontLetFriends,6795,270
ome/ome2024-ngff-challenge,19,16
KatherLab/patho_prompt_injection,1,0
RMS-DAIM/introduction-to-image-analysis,5,3
jatkinson1000/rse-skills-workshop,9,10
Graylab/DL4Proteins-notebooks,406,62
CellMigrationLab/V4SDB_Winter_School_2025,1,0
rmcelreath/stat_rethinking_2024,1596,170
scverse/scanpy-tutorials,218,119
abcucberkeley/Parallel_Fiji_Visualizer,11,2
nobias-fht/advanced-scripting,2,0
German-BioImaging/omero-ontop-mappings,2,2
NFDI4BIOIMAGE/omero-vitessce,9,0
NFDI4BIOIMAGE/LEO,0,0
SaibotMagd/dmtxSampleCreator,1,0
tstoeter/datenbiene,2,1
cmohl2013/omero-arc,3,3
DragaDoncila/napari-scipy2025-workshop,3,1
BiAPoL/TrendsInMicroscopy_2025,0,0
bioimage-io/bioimageio-chatbot,43,12
fefossa/2023_CourseImageAnalysis_NanoCell,1,0
NFDI4BIOIMAGE/BHG2023-OMERO-ARC,0,4
aicjanelia/BioImagingAI,6,1
Shenggan/BCCD_Dataset,414,218
DeepMicroscopy/MIDOG,14,5
bupt-ai-cz/BALNMP,63,12
PathologyDataScience/BCSS,161,18
ImagingDataCommons/IDC-Tutorials,35,18
fmi-faim/image-processing-basics,6,0
klauck/data_visualization_tutorial,0,0
HMS-IAC/qupath-workshop,3,1
