repo_name,stars,forks
yandexdataschool/deep_vision_and_graphics,377,120
kreshuklab/predoc-course,3,2
imjoy-team/bioimage-io-resources,2,3
constantinpape/training-deep-learning-models-for-vison,8,3
constantinpape/dl-teaching-resources,4,1
JaneliaSciComp/nf-demos,2,2
JaneliaSciComp/2020AprilGitCourse,2,10
HenriquesLab/ZeroCostDL4Mic,620,141
HenriquesLab/DL4MicEverywhere,82,14
guijacquemet/CellTracksColab,47,4
tischi/image-analysis-course-material,0,0
guiwitz/PyImageCourse_beginner,38,12
ahklemm/ImageJMacro_Introduction,26,11
ahklemm/CellProfiler_Introduction,8,3
maweigert/embo_2022,0,0
maweigert/neubias_academy_stardist,31,14
maweigert/stardist-i2k,4,1
maweigert/zidas_2020_DL_intro_Part_2,0,1
holgerhennig/machine-learning-IFC,11,4
cytomining/profiling-handbook,12,7
cytomining/DeepProfiler-handbook,8,3
esgomezm/NEUBIAS_chapter_DL_2020,0,0
esgomezm/zidas2020_intro_DL,3,1
JLrumberger/DL-MBL-2021,0,3
galaxyproject/training-material,345,1020
RoccoDAnt/Defragmentation_TrainingSchool_EOSC-Life_2022,7,3
hereariim/DEEP-NAPARI,0,0
BiAPoL/Bio-image_Analysis_with_Python,230,52
BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis,28,9
ScaDS/BIDS-lecture-2024,39,17
computational-cell-analytics/dl-for-micro,21,0
gletort/NeubiasPasteur2023_AdvancedCellPose,8,1
rmassei/2024-jn-omero-pipeline,5,0
ScaDS/BIDS-lecture-2024,39,17
NFDI4BIOIMAGE/Cologne-Hackathon-2023,1,0
ciminilab/2021_Jamali_BiologicalImaging,1,1
COBA-NIH/2023_ImageAnalysisSurvey,3,0
juglab/EmbedSeg,126,23
scipy/scipy-cookbook,475,180
InsightSoftwareConsortium/SimpleITK-Notebooks,890,359
scikit-image/skimage-tutorials,499,373
INRIA/scikit-learn-mooc,1316,589
yandexdataschool/nlp_course,10386,2730
glencoesoftware/bioformats2raw,102,36
glencoesoftware/raw2ometiff,56,23
GReD-Clermont/simple-omero-client,11,7
GReD-Clermont/omero_batch-plugin,4,1
NL-BioImaging/biomero,24,5
ome/omero-cli-transfer,19,17
ome/ome-ngff-validator,10,8
qupath/i2k-qupath-for-python-programmers,7,1
saalfeldlab/i2k2024-lazy-workshop,3,0
royerlab/ultrack-i2k2024,4,1
BIIFSweden/I2K2024-MTIWorkshop,5,1
haesleinhuepf/i2k2024-ai-code-generation,0,0
CellMigrationLab/I2K_2024,4,0
StRigaud/clesperanto_workshop_I2K24?tab=readme-ov-file,8,0
timmonko/napari-ndev,15,2
m-albert/Virtual-I2K-2024-multiview-stitcher,5,0
HelmholtzAI-Consultants-Munich/Prompt-Engineering-LLMs-Course,6,0
vibbits/introduction-to-generative-ai,6,1
vibbits/nextflow-workshop,17,13
rmassei/ymia_python_event_series_material,5,3
SaibotMagd/RDM_system_connector,1,0
deeplife4eu/Lecture-materials,17,13
NEUBIAS/training-resources,58,29
cxli233/Online_R_learning,553,114
cxli233/FriendsDontLetFriends,6926,282
ome/ome2024-ngff-challenge,20,19
KatherLab/patho_prompt_injection,1,0
RMS-DAIM/introduction-to-image-analysis,6,5
jatkinson1000/rse-skills-workshop,13,12
Graylab/DL4Proteins-notebooks,525,83
CellMigrationLab/V4SDB_Winter_School_2025,1,0
rmcelreath/stat_rethinking_2024,1706,191
scverse/scanpy-tutorials,229,120
abcucberkeley/Parallel_Fiji_Visualizer,11,2
nobias-fht/advanced-scripting,2,0
German-BioImaging/omero-ontop-mappings,2,3
NFDI4BIOIMAGE/omero-vitessce,11,1
NFDI4BIOIMAGE/LEO,2,1
SaibotMagd/dmtxSampleCreator,2,0
tstoeter/datenbiene,2,1
cmohl2013/omero-arc,4,3
DragaDoncila/napari-scipy2025-workshop,4,2
BiAPoL/TrendsInMicroscopy_2025,0,0
bioimage-io/bioimageio-chatbot,45,12
fefossa/2023_CourseImageAnalysis_NanoCell,1,1
NFDI4BIOIMAGE/BHG2023-OMERO-ARC,1,4
aicjanelia/BioImagingAI,7,1
Shenggan/BCCD_Dataset,429,221
DeepMicroscopy/MIDOG,14,5
bupt-ai-cz/BALNMP,65,14
PathologyDataScience/BCSS,170,22
ImagingDataCommons/IDC-Tutorials,42,18
fmi-faim/image-processing-basics,7,0
klauck/data_visualization_tutorial,0,0
HMS-IAC/qupath-workshop,3,1
erickmartins/training,4,5
FrancisCrickInstitute/introduction-to-image-analysis,9,3
uhlmanngroup/shapeanalysis101,11,2
uhlmanngroup/nextflow101,5,1
uhlmanngroup/imagequantification101,6,2
kevinyamauchi/embo-bia-2025,5,1
kaabl/PygamePrompts,6,1
