repo_name,stars,forks
yandexdataschool/deep_vision_and_graphics,324,98
kreshuklab/predoc-course,2,2
imjoy-team/bioimage-io-resources,2,4
constantinpape/training-deep-learning-models-for-vison,8,3
constantinpape/dl-teaching-resources,4,1
JaneliaSciComp/nf-demos,2,2
JaneliaSciComp/2020AprilGitCourse,2,10
HenriquesLab/ZeroCostDL4Mic,576,136
HenriquesLab/DL4MicEverywhere,73,10
guijacquemet/CellTracksColab,43,4
tischi/image-analysis-course-material,0,0
guiwitz/PyImageCourse_beginner,29,12
ahklemm/ImageJMacro_Introduction,24,10
ahklemm/CellProfiler_Introduction,7,2
maweigert/embo_2022,0,0
maweigert/neubias_academy_stardist,30,14
maweigert/stardist-i2k,4,1
maweigert/zidas_2020_DL_intro_Part_2,0,1
holgerhennig/machine-learning-IFC,10,4
cytomining/profiling-handbook,9,7
cytomining/DeepProfiler-handbook,7,3
esgomezm/NEUBIAS_chapter_DL_2020,0,0
esgomezm/zidas2020_intro_DL,3,1
JLrumberger/DL-MBL-2021,0,3
galaxyproject/training-material,320,929
RoccoDAnt/Defragmentation_TrainingSchool_EOSC-Life_2022,7,3
hereariim/DEEP-NAPARI,0,0
BiAPoL/Bio-image_Analysis_with_Python,201,48
BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis,25,9
ScaDS/BIDS-lecture-2024,38,19
computational-cell-analytics/dl-for-micro,13,0
gletort/NeubiasPasteur2023_AdvancedCellPose,7,1
rmassei/2024-jn-omero-pipeline,3,0
ScaDS/BIDS-lecture-2024,38,19
NFDI4BIOIMAGE/Cologne-Hackathon-2023,1,0
ciminilab/2021_Jamali_BiologicalImaging,1,1
COBA-NIH/2023_ImageAnalysisSurvey,3,0
juglab/EmbedSeg,112,23
scipy/scipy-cookbook,473,180
InsightSoftwareConsortium/SimpleITK-Notebooks,850,354
scikit-image/skimage-tutorials,494,377
INRIA/scikit-learn-mooc,1158,529
yandexdataschool/nlp_course,9953,2623
glencoesoftware/bioformats2raw,85,35
glencoesoftware/raw2ometiff,49,22
GReD-Clermont/simple-omero-client,9,7
GReD-Clermont/omero_batch-plugin,4,0
NL-BioImaging/biomero,14,3
ome/omero-cli-transfer,17,14
ome/ome-ngff-validator,5,4
qupath/i2k-qupath-for-python-programmers,7,1
saalfeldlab/i2k2024-lazy-workshop,3,0
royerlab/ultrack-i2k2024,4,1
BIIFSweden/I2K2024-MTIWorkshop,4,0
haesleinhuepf/i2k2024-ai-code-generation,0,0
CellMigrationLab/I2K_2024,3,0
StRigaud/clesperanto_workshop_I2K24?tab=readme-ov-file,8,0
timmonko/napari-ndev,8,1
m-albert/Virtual-I2K-2024-multiview-stitcher,5,0
HelmholtzAI-Consultants-Munich/Prompt-Engineering-LLMs-Course,5,0
vibbits/introduction-to-generative-ai,4,0
vibbits/nextflow-workshop,10,9
rmassei/ymia_python_event_series_material,5,3
SaibotMagd/RDM_system_connector,0,0
deeplife4eu/Lecture-materials,13,11
NEUBIAS/training-resources,54,22
cxli233/Online_R_learning,539,108
cxli233/FriendsDontLetFriends,6561,258
ome/ome2024-ngff-challenge,19,14
KatherLab/patho_prompt_injection,1,0
RMS-DAIM/introduction-to-image-analysis,3,3
jatkinson1000/rse-skills-workshop,6,6
Graylab/DL4Proteins-notebooks,319,43
CellMigrationLab/V4SDB_Winter_School_2025,1,0
rmcelreath/stat_rethinking_2024,1441,143
scverse/scanpy-tutorials,197,118
