Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
Christian Schmidt * Michele Bortolomeazzi * Tom Boissonnet * Carsten Fortmann-Grote * Julia Dohle * Peter Zentis * Niraj Kandpal * Susanne Kunis * Thomas Zobel * Stefanie Weidtkamp-Peters * Elisa Ferrando-May,CC-BY-4.0,https://doi.org/10.5281/zenodo.8323588,"I3D:bio's OMERO training material: Re-usable, adjustable, multi-purpose slides for local user training",,"The open-source software OME Remote Objects (OMERO) is a data management software that allows storing, organizing, and annotating bioimaging/microscopy data. OMERO has become one of the best-known systems for bioimage data management in the bioimaging community. The Information Infrastructure for BioImage Data (I3D:bio) project facilitates the uptake of OMERO into research data management (RDM) practices at universities and research institutions in Germany. Since the adoption of OMERO into researchers' daily routines requires intensive training, a broad portfolio of training resources for OMERO is an asset. On top of using the OMERO guides curated by the Open Microscopy Environment Consortium (OME) team, imaging core facility staff at institutions where OMERO is used often prepare additional material tailored to be applicable for their own OMERO instances. Based on experience gathered in the Research Data Management for Microscopy group (RDM4mic) in Germany, and in the use cases in the I3D:bio project, we created a set of reusable, adjustable, openly available slide decks to serve as the basis for tailored training lectures, video tutorials, and self-guided instruction manuals directed at beginners in using OMERO. The material is published as an open educational resource complementing the existing resources for OMERO contributed by the community.",Unknown,.odp * .pdf * .pptx,OMERO * Research Data Management * Nfdi4Bioimage * I3Dbio * include in DALIA,en,Presentation,video * presentation,advanced beginner,2023-11-13,Unknown,Unknown,Unknown,Unknown
Aurelien Barbotin * Chas Nelson * Dominic Waithe * Ola (Alexandra) Tarkowska * Mikolaj Kundegorski * Stephen Cross * Todd Fallesen,GPL-3.0,https://github.com/RMS-DAIM/Python-for-Bioimage-Analysis,IAFIG-RMS Python for Bioimage Analysis Course,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Witz, Guillaume",BSD-3-Clause,https://github.com/guiwitz/NumpyPandas_course,numpy pandas course,,,Unknown,Unknown,Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Bhattiprolu, Sreenivas",MIT,https://github.com/bnsreenu/python_for_microscopists,Python for Microscopists,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Other * Code Notebook,code,novice,,Unknown,Unknown,Unknown,Unknown
"Rougier, Nicolas P.",CC-BY-ND-SA-4.0,https://github.com/rougier/scientific-visualization-book,Scientific Visualization: Python + Matplotlib,,,Unknown,Unknown,Python * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Camacho, Rafael",MIT,https://github.com/CamachoDejay/teaching-bioimage-analysis-python,Teaching Bioimage Analysis with Python,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Tutorial,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Camacho, Rafael",MIT,https://github.com/CamachoDejay/Teaching-ImageJ-FIJI,Teaching ImageJ FIJI,,,Unknown,Unknown,Fiji * Bioimage Analysis * include in DALIA,,Tutorial,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Nunez-Iglesias, Juan",BSD-3-Clause,https://github.com/jni/halfway-to-i2k-skimage-napari,"Fundamentals of image analysis in Python with scikit-image, napari, and friends",,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Nunez-Iglesias, Juan",BSD-3-Clause,https://github.com/scipy-2023-image-analysis/tutorial,"Image analysis and visualization in Python with scikit-image, napari, and friends",,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Royle, Stephen",,https://cshlpress.com/default.tpl?cart=1700309488232283050&fromlink=T&linkaction=full&linksortby=oop_title&--eqSKUdatarq=1282,The Digital Cell: Cell Biology as a Data Science,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Hartmann, Jonas",MIT,https://github.com/WhoIsJack/python-bioimage-analysis-tutorial,Python BioImage Analysis Tutorial,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Jacob Deppen * Kimberly Meechan * David Palmquist * Ulf Schiller * Robert Turner * Marianne Corvellec * Toby Hodges * et al.,CC-BY-4.0,https://datacarpentry.org/image-processing/,Image Processing with Python,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Other,,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Victor Yurchenko * Fedor Ratnikov * Viktoriia Checkalina,MIT,https://github.com/yandexdataschool/deep_vision_and_graphics,Deep Vision and Graphics,,,Unknown,Unknown,Python * Artificial Intelligence * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown
"Pape, Constantin",MIT,https://github.com/constantinpape/dl-teaching-resources,Collection of teaching material for deep learning for (biomedical) image analysis,,,Unknown,Unknown,Artificial Intelligence * Bioimage Analysis * include in DALIA,,,,competent,,Unknown,Unknown,Unknown,Unknown
"Tischer, Christian",MIT,https://github.com/tischi/image-analysis-course-material,Image analysis course material,,"Training materials about image registration, big warp and elastix",Unknown,Unknown,include in DALIA,,,,,,Unknown,Unknown,Unknown,Unknown
"Witz, Guillaume",BSD-3-Clause,https://github.com/guiwitz/PyImageCourse_beginner,Image processing for beginners,,,Unknown,Unknown,Python * Bioimage Analysis * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Beth Cimini * Tim Becker * Shantanu Singh * Gregory Way * Hamdah Abbasi * Callum Tromans-Coia,CC0-1.0,https://github.com/cytomining/profiling-handbook,Image-based Profiling Handbook,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Book,text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Tischer, Christian",CC-BY-4.0,https://doi.org/10.6019/TOL.BioImageAnalysis22-w.2022.00001.1,Methods in bioimage analysis,,,Unknown,Unknown,Bioimage Analysis * include in DALIA,,Presentation * Tutorial,video * presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Bankhead, Peter",CC-BY-4.0,https://doi.org/10.5281/zenodo.4328911,QuPath: Open source software for analysing (awkward) images,,Slides from the CZI/EOSS online meeting in December 2020.,Unknown,.pdf,Bioimage Analysis * include in DALIA,,Presentation,presentation,,2020-12-16,Unknown,Unknown,Unknown,Unknown
Kari Jordan * Zhian Kamvar * Toby Hodges,CC-BY-4.0,https://doi.org/10.5281/zenodo.4317149,Creating open computational curricula,,"In this interactive session, Carpentries team members will guide attendees through three stages of the backward design process to create a lesson development plan for the open source tool of their choosing. Attendees will leave having identified what practical skills they aim to teach (learning objectives), an approach for designing challenge questions (formative assessment), and mechanisms to give and receive feedback.",Unknown,.pdf,include in DALIA,en,Presentation,presentation,competent,2020-12-11,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.7490/f1000research.1119154.1,Parallelization and heterogeneous computing: from pure CPU to GPU-accelerated image processing,,,Unknown,Unknown,include in DALIA,,Presentation,presentation,competent,,Unknown,Unknown,Unknown,Unknown
"Miura, Kota",ALL RIGHTS RESERVED,https://analyticalscience.wiley.com/do/10.1002/was.00050003/full/bioimagedataanalysis.pdf,BioImage Data Analysis,,,Unknown,Unknown,Neubias * Bioimage Analysis * include in DALIA,,Book,text,competent,,Unknown,Unknown,Unknown,Unknown
"Yamauchi, Kevin",CC-BY-4.0,https://kevinyamauchi.github.io/open-image-data/intro.html,Open Image Data Handbook,,,Unknown,Unknown,Neubias * Research Data Management * Napari * Python * Bioimage Analysis * include in DALIA,,Code Notebook * Book,code * text,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Anna Poetsch * Biotec Dresden * Marcelo Leomil Zoccoler * Johannes Richard Müller * Robert Haase,CC-BY-4.0,https://github.com/BiAPoL/Bio-image_Analysis_with_Python,"Bio-image analysis, biostatistics, programming and machine learning for computational biology",,,Unknown,Unknown,Python * Bioimage Analysis * Napari * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Wetzker, Cornelia",CC-BY-4.0,https://doi.org/10.5281/zenodo.10083555,Bio-Image Data Strudel for Workshop on Research Data Management in TU Dresden Core Facilities,,This presentation gives a short outline of the complexity of data and metadata in the bioimaging universe. It introduces NFDI4BIOIMAGE as a newly formed consortium as part of the German 'Nationale Forschungsdateninfrastruktur' (NFDI) and its goals and tools for data management including its current members on TU Dresden campus. &nbsp;,Unknown,.pdf * .pptx,Research Data Management * Nfdi4Bioimage * include in DALIA,en,Presentation,presentation,advanced beginner,2023-11-08,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.10815329,Bio-image Analysis with the Help of Large Language Models,,"Large Language Models (LLMs) change the way how we use computers. This also has impact on the bio-image analysis community. We can generate code that analyzes biomedical image data if we ask the right prompts. This talk outlines introduces basic principles, explains prompt engineering and how to apply it to bio-image analysis. We also compare how different LLM vendors perform on code generation tasks and which challenges are ahead for the bio-image analysis community.",Unknown,.odp * .pdf * .pptx,artificial intelligence * Python * include in DALIA,en,Presentation,presentation,advanced beginner,2024-03-13,Unknown,Unknown,Unknown,Unknown
Stephane Rigaud * Brian Northan * Till Korten * Neringa Jurenaite * Apurv Deepak Kulkarni * Peter Steinbach * Sebastian Starke * Johannes Soltwedel * Marvin Albert * Robert Haase,CC-BY-4.0,https://github.com/BiAPoL/PoL-BioImage-Analysis-TS-GPU-Accelerated-Image-Analysis/,PoL Bio-Image Analysis Training School on GPU-Accelerated Image Analysis,,"This repository hosts notebooks, information and data for the GPU-Accelerated Image Analysis Track of the PoL Bio-Image Analysis Symposium.",Unknown,Unknown,Gpu * Clesperanto * Dask * Python * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://github.com/ScaDS/BIDS-lecture-2024,Bio-image Data Science,,This repository contains training resources for Students at Uni Leipzig who want to dive into bio-image data science with Python.,Unknown,Unknown,Research Data Management * artificial intelligence * Bio-Image Analysis * Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Pape, Costantin",MIT,https://github.com/computational-cell-analytics/dl-for-micro,Introduction to Deep Learning for Microscopy,,This course consists of lectures and exercises that teach the background of deep learning for image analysis and show applications to classification and segmentation analysis problems.,Unknown,Unknown,artificial intelligence * Python * include in DALIA,,Code Notebook,code,competent,,Unknown,Unknown,Unknown,Unknown
"Zoccoler, Marcelo Leomil",CC-BY-4.0,https://zoccoler.github.io/QM_Course_Bio_Image_Analysis_with_napari_2024,QM Course Lectures on Bio-Image Analysis with napari 2024,,"In these lectures, we will explore ways to analyze microscopy images with Python and visualize them with napari, an nD viewer open-source software. The analysis will be done in Python mostly using the scikit-image, pyclesperanto and apoc libraries, via Jupyter notebooks. We will also explore some napari plugins as an interactive and convenient alternative way of performing these analysis, especially the napari-assistant, napari-apoc and napari-flim-phasor-plotter plugins.",Unknown,Unknown,Napari * Python * include in DALIA,en,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
Beth Cimini * Florian Jug * QI 2024,CC-BY-4.0,https://bethac07.github.io/qi_2024_analysis_lab_manual/intro.html,QI 2024 Analysis Lab Manual,,"This book contains the quantitative analysis labs for the QI CSHL course, 2024",Unknown,Unknown,Python * include in DALIA,,Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Fazeli, Elnaz",CC-BY-4.0,https://doi.org/10.5281/zenodo.10679054,My Journey Through Bioimage Analysis Teaching Methods From Classroom to Cloud,,"In these slides I introducemy journey through teaching bioimage analysis courses in different formats, from in person courses to online material. I have an overview of different training formats and comparing these for different audiences.&nbsp;",Unknown,.pdf,Teaching * include in DALIA,en,Presentation,presentation,competent,2024-02-19,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.10654775,Cultivating Open Training,,"In these slides introduce current challenges and potential solutions for openly sharing training materials, softly focusing on bio-image analysis. In this field a lot of training materials circulate in private channels, but openly shared, reusable materials, according to the FAIR-principles, are still rare. Using the CC-BY license and publicly acessible repositories are proposed to fill this gap.",Unknown,.pptx,Teaching * include in DALIA,en,Presentation,presentation,advanced beginner,2024-02-14,Unknown,Unknown,Unknown,Unknown
"Albert, Marvin",BSD-3-Clause,https://m-albert.github.io/elastix_tutorial/intro.html,Elastix tutorial,,Tutorial material for teaching the basics of (itk-)elastix for image registration in microscopy images.,Unknown,Unknown,Image Registration * Itk * Elastix * include in DALIA,,Other * Code Notebook,code,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Sobolewski, Peter",MIT,https://thejacksonlaboratory.github.io/intro-napari-slides/#/section,Intro napari slides,,Introduction to napari workshop run at JAX (Spring 2024).,Unknown,Unknown,Napari * include in DALIA,,Presentation,presentation,advanced beginner,,Unknown,Unknown,Unknown,Unknown
"Letort, Gaelle",BSD-3-Clause,https://github.com/gletort/NeubiasPasteur2023_AdvancedCellPose,NeubiasPasteur2023_AdvancedCellPose,,Tutorial for running CellPose advanced functions,Unknown,Unknown,bioimage analysis * artificial intelligence * include in DALIA,,,,competent,,Unknown,Unknown,Unknown,Unknown
Andrii Iudin * Anna Foix-Romero * Anna Kreshuk * Awais Athar * Beth Cimini * Dominik Kutra * Estibalis Gomez de Mariscal * Frances Wong * Guillaume Jacquemet * Kedar Narayan * Martin Weigert * Nodar Gogoberidze * Osman Salih * Petr Walczysko * Ryan Conrad * Simone Weyend * Sriram Sundar Somasundharam * Suganya Sivagurunathan * Ugis Sarkans,CC-BY-4.0,https://www.ebi.ac.uk/training/materials/microscopy-data-analysis-machine-learning-and-the-bioimage-archive-materials/,Microscopy data analysis: machine learning and the BioImage Archive,,"The Microscopy data analysis: machine learning and the BioImage Archive course, which focused on introducing programmatic approaches used in the analysis of bioimage data via the BioImage Archive, ran in May 2023.",Unknown,Unknown,BioImage Analysis * Python * artificial intelligence * include in DALIA,en,Presentation,video * presentation,competent,,Unknown,Unknown,Unknown,Unknown
"Haase, Robert",CC-BY-4.0,https://doi.org/10.5281/zenodo.10972692,Kollaboratives Arbeiten und Versionskontrolle mit Git,,"Gemeinsames Arbeiten im Internet stellt uns vor neue Herausforderungen: Wer hat eine Datei wann hochgeladen? Wer hat zum Inhalt beigetragen? Wie kann man Inhalte zusammenfuehren, wenn mehrere Mitarbeiter gleichzeitig Aenderungen gemacht haben? Das Versionskontrollwerkzeug git stellt eine umfassende Loesung fuer solche Fragen bereit. Die Onlineplatform github.com stellt nicht nur Softwareentwicklern weltweit eine git-getriebene Platform zur Verfuegung und erlaubt ihnen effektiv zusammen zu arbeiten. In diesem Workshop lernen wir:

Infuerung in FAIR-Prinzipien im Softwarecontext
Arbeiten mit git: Pull-requests
Aufloesen von Merge-Konflikten
Automatisiertes Archivieren von Inhalten nach Zenodo.org
Eigene Webseiten auf github.io publizieren
",Unknown,.pdf * .pptx,Research Data Management * FAIR-Principles * Git * Zenodo * include in DALIA,de,Presentation,presentation,advanced beginner,2024-04-15,Unknown,Unknown,Unknown,Unknown
